က,k
ကမ္ဗလာခင်းနှီး,kəmə္bəlakʰɪɴn̥i
ကမ္ဗလာသီး,kəmə္bəlaθi
ကမ္ဘလူ,kəmə္bəlu
ကမ္ဘာ,kəmə္ba
ကမ္ဘာတန်ဆာ,kəmə္bataɴsʰa
ကမ္ဘာနာ,kəmə္bana
ကမ္ဘာဖျက်လေ,kəmə္bapʰəjkɛʔle
ကမ္ဘာမီးလောင်,kəmə္bamilaʊɴ
ကမ္ဘာရန်,kəmə္bajaɴ
ကမ္ဘာလေးရပ်,kəmə္balejaʔ
ကမ္ဘာလေးရပ်လား,kəmə္balejaʔla
ကမ္ဘာသက္ကရာဇ်,kəmə္baθəkə္kəjazɛʔ
ကမ္ဘာဦးသူ,kəmə္baʔuးθu
ကမ္ဘောဒီးယား,kəmə္bɔdija
ကမ္မ,kəmə္m
ကမ္မချုပ်,kəmə္mət͡ɕʰoʊʔ
ကမ္မဇချုပ်,kəmə္məzət͡ɕʰoʊʔ
ကမ္မဇလေ,kəmə္məzəle
ကမ္မဇာ,kəmə္məza
ကမ္မဇိဒ္ဓိ,kəmə္məzidə္di
ကမ္မဋ္ဌာန်း,kəmə္mətə္tʰaaɴ
ကမ္မဌာန်း,kəmə္mətʰaaɴ
ကမ္မဌာန်းဘာဝနာစီးဖြန်း,kəmə္mətʰaaɴbawənasipʰəjaɴ
ကမ္မဌာန်းရှု,kəmə္mətʰaaɴʃu
ကမ္မဝါ,kəmə္məwəါ
ကမ္မဝါစာ,kəmə္məwəါsa
ကမ္မဝါစာဖတ်,kəmə္məwəါsapʰaʔ
ကမ္မသကာ,kəmə္məθəka
ကမ်,kaɴ
ကမ်း,kaɴ
ကမ်းကုန်,kaɴkoʊɴ
ကမ်းခြေ,kaɴt͡ɕʰe
ကမ်းခြေစောင့်တပ်,kaɴt͡ɕʰesaʊɴtaʔ
ကမ်းခြေသောင်ခုံ,kaɴt͡ɕʰeθaʊɴkʰoʊɴ
ကမ်းခုံ,kaɴkʰoʊɴ
ကမ်းငူ,kaɴŋu
ကမ်းစပ်,kaɴsaʔ
ကမ်းစောက်,kaɴsɔkɛʔ
ကမ်းတက်,kaɴtəkɛʔ
ကမ်းတက်သင်္ဘော,kaɴtəkɛʔθɪɴ္bɔ
ကမ်းထစ်,kaɴtʰɪʔ
ကမ်းထိပ်,kaɴtʰeɪʔ
ကမ်းထိုးရေယာဉ်,kaɴtʰojejaɪɴ
ကမ်းနဖူး,kaɴnəpʰu
ကမ်းနား,kaɴna
ကမ်းပါး,kaɴpəါး
ကမ်းပါးစောက်,kaɴpəါးsɔkɛʔ
ကမ်းပါးပြတ်,kaɴpəါးpəjaʔ
ကမ်းပါးပြိုသည်,kaɴpəါးpəjoθi
ကမ်းပါးယံ,kaɴpəါးjaɴ
ကမ်းပါးလျှော,kaɴpəါးləjှɔ
ကမ်းမြောင်ဒေသ,kaɴməjaʊɴdeθ
ကမ်းယံ,kaɴjaɴ
ကမ်းရိုးတန်း,kaɴjotaɴ
ကမ်းလှမ်း,kaɴɬaɴ
ကမ်းလှမ်းသည်,kaɴɬaɴθi
ကမ်းလွန်,kaɴlʊɴ
ကမ်းသည်,kaɴθi
ကမ်စော်,kaɴsaʊʔ
ကမ်ဗလာ,kaɴbəla
ကယားပြည်နယ်,kəjapəjinɛ
ကယီ,kəji
ကယုကယ,kəjukəj
ကယုကယင်,kəjukəjɪɴ
ကယော,kəjɔ
ကယောက်ကကယ်,kəjɔkɛʔkəkɛ
ကယောက်ကယက်,kəjɔkɛʔkəjəkɛʔ
ကယောင်ကတမ်း,kəjaʊɴkətaɴ
ကယောင်ကယင်,kəjaʊɴkəjɪɴ
ကယောင်ချောက်ချား,kəjaʊɴt͡ɕʰɔkɛʔt͡ɕʰa
ကယောပင်,kəjɔpɪɴ
ကယ်,kɛ
ကယ်ကယ်,kɛkɛ
ကယ်ချွတ်,kɛt͡ɕʰʊʔ
ကယ်ဆယ်,kɛsʰɛ
ကယ်ဆယ်ရေးရံပုံငွေ,kɛsʰɛjejaɴpoʊɴŋəwe
ကယ်တင်,kɛtɪɴ
ကယ်တင်ရှင်,kɛtɪɴʃɪɴ
ကယ်နှုတ်,kɛn̥oʊʔ
ကယ်ပါ,kɛpəါ
ကယ်ပါစု,kɛpəါsu
ကယ်ပါရွာ,kɛpəါjəwa
ကယ်ပေါက်,kɛpeါkɛʔ
ကယ်မ,kɛm
ကယ်မသည်,kɛməθi
ကယ်ယူ,kɛju
ကယ်လောင်းကြွက်,kɛlaʊɴt͡ɕəwkɛʔ
ကယ်လွှတ်,kɛləwှaʔ
ကယ်သည်,kɛθi
ကျ,t͡ɕ
ကျံ,t͡ɕaɴ
ကျံကျံ,t͡ɕaɴt͡ɕaɴ
ကျံကျံမြည်,t͡ɕaɴt͡ɕaɴməji
ကျကျနန,t͡ɕət͡ɕənən
ကျကျောက်နာ,t͡ɕət͡ɕɔkɛʔna
ကျက်,t͡ɕəkɛʔ
ကျက်စား,t͡ɕəkɛʔsa
ကျက်စားသည်,t͡ɕəkɛʔsaθi
ကျက်စာမှတ်စာ,t͡ɕəkɛʔsam̥aʔsa
ကျက်တူရွေး,t͡ɕəkɛʔtujəwe
ကျက်နပ်,t͡ɕəkɛʔnaʔ
ကျက်မိ,t͡ɕəkɛʔmi
ကျက်မိသည်,t͡ɕəkɛʔmiθi
ကျက်သည်,t͡ɕəkɛʔθi
ကျက်သရေ,t͡ɕəkɛʔθəje
ကျက်သရေဆောင်,t͡ɕəkɛʔθəjesʰaʊɴ
ကျက်သရေတိုက်,t͡ɕəkɛʔθəjetokɛʔ
ကျခံသည်,t͡ɕəkʰaɴθi
ကျင့်,t͡ɕɪɴ
ကျင့်ကြံ,t͡ɕɪɴt͡ɕaɴ
ကျင့်ကြံပြုမူဟန်,t͡ɕɪɴt͡ɕaɴpəjumuhaɴ
ကျင့်စဉ်,t͡ɕɪɴsɪɴ
ကျင့်စဉ်တရား,t͡ɕɪɴsɪɴtəja
ကျင့်စောင့်,t͡ɕɪɴsaʊɴ
ကျင့်ဆောင်,t͡ɕɪɴsʰaʊɴ
ကျင့်တင့်တင့်,t͡ɕɪɴtɪɴtɪɴ
ကျင့်တင့်တင့်ရှိ,t͡ɕɪɴtɪɴtɪɴʃi
ကျင့်တမ်း,t͡ɕɪɴtaɴ
ကျင့်ထုံး,t͡ɕɪɴtʰoʊɴ
ကျင့်ရိုးကျင့်စဉ်,t͡ɕɪɴjot͡ɕɪɴsɪɴ
ကျင့်ဝတ်,t͡ɕɪɴwaʔ
ကျင့်သည်,t͡ɕɪɴθi
ကျင့်သုံး,t͡ɕɪɴθoʊɴ
ကျင့်သုံးသည်,t͡ɕɪɴθoʊɴθi
ကျင်,t͡ɕɪɴ
ကျင်း,t͡ɕɪɴ
ကျင်းတူး,t͡ɕɪɴtu
ကျင်းထိုး,t͡ɕɪɴtʰo
ကျင်းပ,t͡ɕɪɴp
ကျင်းပသည်,t͡ɕɪɴpəθi
ကျင်းယက်,t͡ɕɪɴjəkɛʔ
ကျင်ကျွမ်း,t͡ɕɪɴt͡ɕʊɴ
ကျင်ကြီး,t͡ɕɪɴt͡ɕi
ကျင်ကြီးကျင်ငယ်,t͡ɕɪɴt͡ɕit͡ɕɪɴŋɛ
ကျင်ကြီးစွန့်,t͡ɕɪɴt͡ɕisʊɴ
ကျင်ကြီးစွန့်သည်,t͡ɕɪɴt͡ɕisʊɴθi
ကျင်ကိုင်,t͡ɕɪɴkaɪɴ
ကျင်ချုပ်,t͡ɕɪɴt͡ɕʰoʊʔ
ကျင်ချောင်း,t͡ɕɪɴt͡ɕʰaʊɴ
ကျင်ခွက်,t͡ɕɪɴkʰəwkɛʔ
ကျင်ငယ်,t͡ɕɪɴŋɛ
ကျင်ငယ်ချောင်း,t͡ɕɪɴŋɛt͡ɕʰaʊɴ
ကျင်ငယ်စွန့်,t͡ɕɪɴŋɛsʊɴ
ကျင်ငယ်စွန့်သည်,t͡ɕɪɴŋɛsʊɴθi
ကျင်ငယ်အိမ်,t͡ɕɪɴŋɛʔeɪɴ
ကျင်စွယ်,t͡ɕɪɴsəwɛ
ကျင်တွယ်,t͡ɕɪɴtəwɛ
ကျင်တွယ်ကိုက်,t͡ɕɪɴtəwɛkokɛʔ
ကျင်တွယ်ထောင့်,t͡ɕɪɴtəwɛtʰaʊɴ
ကျင်နှစ်,t͡ɕɪɴn̥ɪʔ
ကျင်ပြော,t͡ɕɪɴpəjɔ
ကျင်မှုန့်,t͡ɕɪɴm̥oʊɴ
ကျင်မုန့်,t͡ɕɪɴmoʊɴ
ကျင်လည်,t͡ɕɪɴli
ကျင်လည်လေ့ကျက်,t͡ɕɪɴlilet͡ɕəkɛʔ
ကျင်လျင်,t͡ɕɪɴləjɪɴ
ကျင်သည်,t͡ɕɪɴθi
ကျင်ဥ,t͡ɕɪɴʔu
ကျစ်,t͡ɕɪʔ
ကျစ်ကျစ်,t͡ɕɪʔt͡ɕɪʔ
ကျစ်ကျစ်မြည်,t͡ɕɪʔt͡ɕɪʔməji
ကျစ်ကျစ်မာ,t͡ɕɪʔt͡ɕɪʔma
ကျစ်စာ,t͡ɕɪʔsa
ကျစ်စာတွင်း,t͡ɕɪʔsatəwɪɴ
ကျစ်ဆံနီ,t͡ɕɪʔsʰaɴni
ကျစ်ဆံမြီး,t͡ɕɪʔsʰaɴməji
ကျစ်တွန့်တက်,t͡ɕɪʔtʊɴtəkɛʔ
ကျစ်လျစ်,t͡ɕɪʔləjɪʔ
ကျစ်သော,t͡ɕɪʔθɔ
ကျဆင်းသည်,t͡ɕəsʰɪɴθi
ကျဆုံးသည်,t͡ɕəsʰoʊɴθi
ကျဉ်,t͡ɕɪɴ
ကျဉ်း,t͡ɕɪɴ
ကျဉ်းကျပ်,t͡ɕɪɴt͡ɕaʔ
ကျဉ်းကျုတ်,t͡ɕɪɴt͡ɕoʊʔ
ကျဉ်းချုံး,t͡ɕɪɴt͡ɕʰoʊɴ
ကျဉ်းမြောင်း,t͡ɕɪɴməjaʊɴ
ကျဉ်းသည်,t͡ɕɪɴθi
ကျဉ်းသော,t͡ɕɪɴθɔ
ကျဉ်ကြော,t͡ɕɪɴt͡ɕɔ
ကျဉ်ကောင်,t͡ɕɪɴkaʊɴ
ကျဉ်ထုံ,t͡ɕɪɴtʰoʊɴ
ကျဉ်နီကျဉ်နက်,t͡ɕɪɴnit͡ɕɪɴnəkɛʔ
ကျဉ်သည်,t͡ɕɪɴθi
ကျည်,t͡ɕi
ကျည်း,t͡ɕi
ကျည်းကျဉ်း,t͡ɕit͡ɕɪɴ
ကျည်းကွေး,t͡ɕikəwe
ကျည်းနီ,t͡ɕini
ကျည်းပင်,t͡ɕipɪɴ
ကျည်းပေါင်,t͡ɕipeါɪɴ
ကျည်းပေါင်း,t͡ɕipeါɪɴ
ကျည်းပေါင်ခွေ,t͡ɕipeါɪɴkʰəwe
ကျည်းဝန်း,t͡ɕiwaɴ
ကျည်းသား,t͡ɕiθa
ကျည်းသားရိုက်,t͡ɕiθajokɛʔ
ကျည်ကပ်,t͡ɕikaʔ
ကျည်ကျည်ကျာကျာမြည်,t͡ɕit͡ɕit͡ɕat͡ɕaməji
ကျည်ကျည်လောင်လောင်,t͡ɕit͡ɕilaʊɴlaʊɴ
ကျည်စူး,t͡ɕisu
ကျည်စေ့,t͡ɕise
ကျည်စေ့ထောက်သွား,t͡ɕisetʰɔkɛʔθəwa
ကျည်ဆန်,t͡ɕisʰaɴ
ကျည်တောက်,t͡ɕitɔkɛʔ
ကျည်တောင့်,t͡ɕitaʊɴ
ကျည်ပေါက်,t͡ɕipeါkɛʔ
ကျည်ပွေ့,t͡ɕipəwe
ကျည်ဖူး,t͡ɕipʰu
ကျည်မှန်,t͡ɕim̥aɴ
ကျည်ရာ,t͡ɕija
ကျည်လောင်,t͡ɕilaʊɴ
ကျည်အ,t͡ɕiʔ
ကျတ်,t͡ɕaʔ
ကျတ်ငန်ရေ,t͡ɕaʔŋaɴje
ကျတ်တစ္ဆေ,t͡ɕaʔtəsə္sʰe
ကျတ်တီးကုန်း,t͡ɕaʔtikoʊɴ
ကျတ်တီးခေါင်,t͡ɕaʔtikʰeါɪɴ
ကျတ်တီးပြင်,t͡ɕaʔtipəjɪɴ
ကျတ်တွင်း,t͡ɕaʔtəwɪɴ
ကျတ်မြေ,t͡ɕaʔməje
ကျတ်ရေ,t͡ɕaʔje
ကျန,t͡ɕən
ကျနေ,t͡ɕəne
ကျန်,t͡ɕaɴ
ကျန်း,t͡ɕaɴ
ကျန်းခံ့,t͡ɕaɴkʰaɴ
ကျန်းခံ့သာ,t͡ɕaɴkʰaɴθa
ကျန်းတန်း,t͡ɕaɴtaɴ
ကျန်းတော,t͡ɕaɴtɔ
ကျန်းမာ,t͡ɕaɴma
ကျန်းမားရေးဆေးလက်မှတ်,t͡ɕaɴmajesʰeləkɛʔm̥aʔ
ကျန်းမားရေးပညာ,t͡ɕaɴmajepəɲa
ကျန်းမာပကတိရှိ,t͡ɕaɴmapəkətiʃi
ကျန်းမာရေး,t͡ɕaɴmaje
ကျန်းမာသော,t͡ɕaɴmaθɔ
ကျန်ကြွင်း,t͡ɕaɴt͡ɕəwɪɴ
ကျန်စစ်ပင်,t͡ɕaɴsɪʔpɪɴ
ကျန်ရစ်,t͡ɕaɴjɪʔ
ကျန်ရစ်သည်,t͡ɕaɴjɪʔθi
ကျန်လပ်,t͡ɕaɴlaʔ
ကျပန်း,t͡ɕəpaɴ
ကျပန်းလုပ်သည်,t͡ɕəpaɴloʊʔθi
ကျပျောက်သည်,t͡ɕəpəjɔkɛʔθi
ကျပ်,t͡ɕaʔ
ကျပ်ကျပ်,t͡ɕaʔt͡ɕaʔ
ကျပ်ကျပ်တင်းတင်း,t͡ɕaʔt͡ɕaʔtɪɴtɪɴ
ကျပ်ကျပ်တည်းတည်း,t͡ɕaʔt͡ɕaʔtiti
ကျပ်ကြိုးပြား,t͡ɕaʔt͡ɕopəja
ကျပ်ကြိုးလုံး,t͡ɕaʔt͡ɕoloʊɴ
ကျပ်ချိန်,t͡ɕaʔt͡ɕʰeɪɴ
ကျပ်ချွတ်,t͡ɕaʔt͡ɕʰʊʔ
ကျပ်ခိုး,t͡ɕaʔkʰo
ကျပ်ခိုးစင်,t͡ɕaʔkʰosɪɴ
ကျပ်စင်,t͡ɕaʔsɪɴ
ကျပ်စည်း,t͡ɕaʔsi
ကျပ်တင်,t͡ɕaʔtɪɴ
ကျပ်တည်း,t͡ɕaʔti
ကျပ်တည်းကျဉ်းမြောင်း,t͡ɕaʔtit͡ɕɪɴməjaʊɴ
ကျပ်တိုက်,t͡ɕaʔtokɛʔ
ကျပ်တိုက်သည်,t͡ɕaʔtokɛʔθi
ကျပ်ထုပ်,t͡ɕaʔtʰoʊʔ
ကျပ်ထုပ်ထိုး,t͡ɕaʔtʰoʊʔtʰo
ကျပ်နာ,t͡ɕaʔna
ကျပ်ပြည့်တင်းပြည့်,t͡ɕaʔpəjitɪɴpəji
ကျပ်ပြား,t͡ɕaʔpəja
ကျပ်မပြည့်သူ,t͡ɕaʔməpəjiθu
ကျပ်မြင်းမိုရ်,t͡ɕaʔməjɪɴmojɛʔ
ကျပ်လျား,t͡ɕaʔləja
ကျပ်သော,t͡ɕaʔθɔ
ကျဗဟုံး,t͡ɕəbəhoʊɴ
ကျဗဟုန်း,t͡ɕəbəhoʊɴ
ကျဗဟုန်းဖမ်း,t͡ɕəbəhoʊɴpʰaɴ
ကျမ်း,t͡ɕaɴ
ကျမ်းကျိန်,t͡ɕaɴt͡ɕeɪɴ
ကျမ်းကျိန်ဆိုချက်,t͡ɕaɴt͡ɕeɪɴsʰot͡ɕʰəkɛʔ
ကျမ်းကျေ,t͡ɕaɴt͡ɕe
ကျမ်းကိုးကျမ်းကား,t͡ɕaɴkot͡ɕaɴka
ကျမ်းကိုင်,t͡ɕaɴkaɪɴ
ကျမ်းဂန်,t͡ɕaɴɡaɴ
ကျမ်းဂန်စာပေ,t͡ɕaɴɡaɴsape
ကျမ်းဂန်စာရေး,t͡ɕaɴɡaɴsaje
ကျမ်းစာ,t͡ɕaɴsa
ကျမ်းစာသင်ကျောင်း,t͡ɕaɴsaθɪɴt͡ɕaʊɴ
ကျမ်းစူး,t͡ɕaɴsu
ကျမ်းဆို,t͡ɕaɴsʰo
ကျမ်းတတ်,t͡ɕaɴtaʔ
ကျမ်းတိုက်,t͡ɕaɴtokɛʔ
ကျမ်းတုံး,t͡ɕaɴtoʊɴ
ကျမ်းပြုသည်,t͡ɕaɴpəjuθi
ကျမ်းပေါင်းမှတ်စု,t͡ɕaɴpeါɪɴm̥aʔsu
ကျမ်းပွား,t͡ɕaɴpəwa
ကျမ်းမိ,t͡ɕaɴmi
ကျမ်းရင်း,t͡ɕaɴjɪɴ
ကျမ်းရွက်,t͡ɕaɴjəwkɛʔ
ကျမ်းသင့်,t͡ɕaɴθɪɴ
ကျမ်းသစ္စာ,t͡ɕaɴθəsə္sa
ကျမ်းဦးစကား,t͡ɕaɴʔuးsəka
ကျယ်,t͡ɕɛ
ကျယ်တယ်တယ်,t͡ɕɛtɛtɛ
ကျယ်ပြန့်,t͡ɕɛpəjaɴ
ကျယ်ပြန့်သော,t͡ɕɛpəjaɴθɔ
ကျယ်လောင်သော,t͡ɕɛlaʊɴθɔ
ကျယ်ဝင်း,t͡ɕɛwɪɴ
ကျယ်ဝန်း,t͡ɕɛwaɴ
ကျယ်ဝန်းသော,t͡ɕɛwaɴθɔ
ကျယ်ဝှမ်း,t͡ɕɛʍaɴ
ကျယ်ဝိုင်း,t͡ɕɛwaɪɴ
ကျယ်သော,t͡ɕɛθɔ
ကျရှုံးသည်,t͡ɕəʃoʊɴθi
ကျသင့်ငွေ,t͡ɕəθɪɴŋəwe
ကျသည်,t͡ɕəθi
ကျအောင်,t͡ɕəʔaʊɴ
ကျာ,t͡ɕa
ကျား,t͡ɕa
ကျားကန်,t͡ɕakaɴ
ကျားကန်သည်,t͡ɕakaɴθi
ကျားကျားလျားလျား,t͡ɕat͡ɕaləjaləja
ကျားကျုတ်,t͡ɕat͡ɕoʊʔ
ကျားကျုတ်သစ်ကျုတ်,t͡ɕat͡ɕoʊʔθɪʔt͡ɕoʊʔ
ကျားကြီးကျားငယ်,t͡ɕat͡ɕit͡ɕaŋɛ
ကျားကုတ်ကျားခဲ,t͡ɕakoʊʔt͡ɕakʰɛ
ကျားကွက်,t͡ɕakəwkɛʔ
ကျားဂမုန်း,t͡ɕaɡəmoʊɴ
ကျားဆင်,t͡ɕasʰɪɴ
ကျားထိုး,t͡ɕatʰo
ကျားထောက်,t͡ɕatʰɔkɛʔ
ကျားပါးစပ်,t͡ɕapəါးsaʔ
ကျားပေးလိုက်,t͡ɕapelokɛʔ
ကျားမ,t͡ɕam
ကျားမင်း,t͡ɕamɪɴ
ကျားမည်း,t͡ɕami
ကျားမျက်လုံး,t͡ɕaməjkɛʔloʊɴ
ကျားမော့,t͡ɕamɔ
ကျားလက်သည်း,t͡ɕaləkɛʔθi
ကျားလျှာ,t͡ɕaləjှa
ကျားလျှာရှားစောင်း,t͡ɕaləjှaʃasaʊɴ
ကျားသစ်,t͡ɕaθɪʔ
ကျာကျာ,t͡ɕat͡ɕa
ကျာကျာကျည်ကျည်မြည်,t͡ɕat͡ɕat͡ɕit͡ɕiməji
ကျာပွတ်,t͡ɕapʊʔ
ကျာပွတ်နှင်တံ,t͡ɕapʊʔn̥ɪɴtaɴ
ကျိ,t͡ɕi
ကျိကျိ,t͡ɕit͡ɕi
ကျိကျိတက်,t͡ɕit͡ɕitəkɛʔ
ကျိချွဲ,t͡ɕit͡ɕʰəwɛ
ကျိတ်,t͡ɕeɪʔ
ကျိတ်ကျိတ်,t͡ɕeɪʔt͡ɕeɪʔ
ကျိတ်ကျိတ်ခဲခဲ,t͡ɕeɪʔt͡ɕeɪʔkʰɛkʰɛ
ကျိတ်ကျိတ်မြည်,t͡ɕeɪʔt͡ɕeɪʔməji
ကျိတ်ကြံကျိတ်လုပ်,t͡ɕeɪʔt͡ɕaɴt͡ɕeɪʔloʊʔ
ကျိတ်ခဲ,t͡ɕeɪʔkʰɛ
ကျိတ်စာ,t͡ɕeɪʔsa
ကျိတ်စေ့,t͡ɕeɪʔse
ကျိတ်ထဲ,t͡ɕeɪʔtʰɛ
ကျိတ်ဓား,t͡ɕeɪʔda
ကျိတ်နာ,t͡ɕeɪʔna
ကျိတ်ပင်,t͡ɕeɪʔpɪɴ
ကျိတ်ပိုး,t͡ɕeɪʔpo
ကျိတ်ပုတီး,t͡ɕeɪʔputi
ကျိတ်လမန်းပင်,t͡ɕeɪʔləmaɴpɪɴ
ကျိတ်လိတ်,t͡ɕeɪʔleɪʔ
ကျိတ်လိတ်သေ,t͡ɕeɪʔleɪʔθe
ကျိတ်ဝိုင်း,t͡ɕeɪʔwaɪɴ
ကျိန်,t͡ɕeɪɴ
ကျိန်း,t͡ɕeɪɴ
ကျိန်းကျေ,t͡ɕeɪɴt͡ɕe
ကျိန်းချေ,t͡ɕeɪɴt͡ɕʰe
ကျိန်းစက်,t͡ɕeɪɴsəkɛʔ
ကျိန်းစက်သည်,t͡ɕeɪɴsəkɛʔθi
ကျိန်းစပ်,t͡ɕeɪɴsaʔ
ကျိန်းဝပ်,t͡ɕeɪɴwaʔ
ကျိန်းသေ,t͡ɕeɪɴθe
ကျိန်းသေသော,t͡ɕeɪɴθeθɔ
ကျိန်းအောင်း,t͡ɕeɪɴʔaʊɴ
ကျိန်စာ,t͡ɕeɪɴsa
ကျိန်စာစူးသည်,t͡ɕeɪɴsasuθi
ကျိန်စာသင့်သည်,t͡ɕeɪɴsaθɪɴθi
ကျိန်ဆို,t͡ɕeɪɴsʰo
ကျိန်ဆိုသည်,t͡ɕeɪɴsʰoθi
ကျိန်ဆဲ,t͡ɕeɪɴsʰɛ
ကျိန်တွယ်,t͡ɕeɪɴtəwɛ
ကျိန်ပိုက်,t͡ɕeɪɴpokɛʔ
ကျိန်သည်,t͡ɕeɪɴθi
ကျိပ်,t͡ɕeɪʔ
ကျို,t͡ɕo
ကျို့,t͡ɕo
ကျို့သည်,t͡ɕoθi
ကျိုး,t͡ɕo
ကျိုးကျိုးကျည်ကျည်မြည်,t͡ɕot͡ɕot͡ɕit͡ɕiməji
ကျိုးကျိုးကျဲကျဲ,t͡ɕot͡ɕot͡ɕɛt͡ɕɛ
ကျိုးကျွန်,t͡ɕot͡ɕʊɴ
ကျိုးဆတ်,t͡ɕosʰaʔ
ကျိုးတိုးကျဲတဲ,t͡ɕotot͡ɕɛtɛ
ကျိုးနင်းကျိုးနင်း,t͡ɕonɪɴt͡ɕonɪɴ
ကျိုးနွံ,t͡ɕonəwaɴ
ကျိုးနွံသည်,t͡ɕonəwaɴθi
ကျိုးပေါက်,t͡ɕopeါkɛʔ
ကျိုးပေါက်သည်,t͡ɕopeါkɛʔθi
ကျိုးပဲ့,t͡ɕopɛ
ကျိုးယုတ်ရှက်ကွဲ,t͡ɕojoʊʔʃəkɛʔkəwɛ
ကျိုးသည်,t͡ɕoθi
ကျိုက်,t͡ɕokɛʔ
ကျိုက်ကျိုက်,t͡ɕokɛʔt͡ɕokɛʔ
ကျိုက်ကျိုက်ဆူပွက်,t͡ɕokɛʔt͡ɕokɛʔsʰupəwkɛʔ
ကျိုက်ချ,t͡ɕokɛʔt͡ɕʰ
ကျိုချက်,t͡ɕot͡ɕʰəkɛʔ
ကျိုင်း,t͡ɕaɪɴ
ကျိုင်းကောင်,t͡ɕaɪɴkaʊɴ
ကျိုင်းခေါင်း,t͡ɕaɪɴkʰeါɪɴ
ကျိုင်းထွား,t͡ɕaɪɴtʰəwa
ကျိုင်းရိုင်း,t͡ɕaɪɴjaɪɴ
ကျိုသည်,t͡ɕoθi
ကျီ,t͡ɕi
ကျီး,t͡ɕi
ကျီးကန်း,t͡ɕikaɴ
ကျီးခြေ,t͡ɕit͡ɕʰe
ကျီးခြေနွယ်,t͡ɕit͡ɕʰenəwɛ
ကျီးခြေနွယ်ပင်,t͡ɕit͡ɕʰenəwɛpɪɴ
ကျီးနှင့်ဖုတ်ဖုတ်,t͡ɕin̥ɪɴpʰoʊʔpʰoʊʔ
ကျီးနိုး,t͡ɕino
ကျီးနိုးချိန်,t͡ɕinot͡ɕʰeɪɴ
ကျီးပြို,t͡ɕipəjo
ကျီးပေါင်း,t͡ɕipeါɪɴ
ကျီးပေါင်းတက်,t͡ɕipeါɪɴtəkɛʔ
ကျီးရန်း,t͡ɕijaɴ
ကျီးလန့်စာစား,t͡ɕilaɴsasa
ကျီးသာ,t͡ɕiθa
ကျီးအ,t͡ɕiʔ
ကျီးအက်,t͡ɕiʔəkɛʔ
ကျီးအက်ကြောင်ဝင်,t͡ɕiʔəkɛʔt͡ɕaʊɴwɪɴ
ကျီးအာ,t͡ɕiʔa
ကျီးအာသီး,t͡ɕiʔaθi
ကျီကျ,t͡ɕit͡ɕ
ကျီကြတိုက်တာ,t͡ɕit͡ɕətokɛʔta
ကျီစယ်,t͡ɕisɛ
ကျီစယ်သည်,t͡ɕisɛθi
ကျီစား,t͡ɕisa
ကျီစားသည်,t͡ɕisaθi
ကျီစားသန်,t͡ɕisaθaɴ
ကျီဝန်မင်း,t͡ɕiwaɴmɪɴ
ကျု,t͡ɕu
ကျုံ,t͡ɕoʊɴ
ကျုံ့,t͡ɕoʊɴ
ကျုံ့ကျုံ့ထိုင်,t͡ɕoʊɴt͡ɕoʊɴtʰaɪɴ
ကျုံ့ကျုံ့ထိုင်သည်,t͡ɕoʊɴt͡ɕoʊɴtʰaɪɴθi
ကျုံ့ကျုံ့ယုံ့ယုံ့,t͡ɕoʊɴt͡ɕoʊɴjoʊɴjoʊɴ
ကျုံ့ယုံ,t͡ɕoʊɴjoʊɴ
ကျုံ့ဝင်,t͡ɕoʊɴwɪɴ
ကျုံ့သည်,t͡ɕoʊɴθi
ကျုံး,t͡ɕoʊɴ
ကျုံးထိပ်ကျုံးနဖူး,t͡ɕoʊɴtʰeɪʔt͡ɕoʊɴnəpʰu
ကျုံးပစ်,t͡ɕoʊɴpɪʔ
ကျုံးမြောင်း,t͡ɕoʊɴməjaʊɴ
ကျုံးသည်,t͡ɕoʊɴθi
ကျုံးသွင်းသည်,t͡ɕoʊɴθəwɪɴθi
ကျုံစား,t͡ɕoʊɴsa
ကျုံဆို့နာ,t͡ɕoʊɴsʰona
ကျုတ်,t͡ɕoʊʔ
ကျုတ်ပင်,t͡ɕoʊʔpɪɴ
ကျုပ်,t͡ɕoʊʔ
ကျူ,t͡ɕu
ကျူး,t͡ɕu
ကျူးကျော်,t͡ɕut͡ɕaʊʔ
ကျူးကျော်စစ်,t͡ɕut͡ɕaʊʔsɪʔ
ကျူးကျော်နေထိုင်သူ,t͡ɕut͡ɕaʊʔnetʰaɪɴθu
ကျူးကျော်ရပ်ကွက်,t͡ɕut͡ɕaʊʔjaʔkəwkɛʔ
ကျူးကျော်ရေးသမား,t͡ɕut͡ɕaʊʔjeθəma
