က,k
ကဒတ်ပင်,kədaʔpɪɴ
ကဒတ်မုန့်,kədaʔmoʊɴ
ကဒပ်ငန်း,kədaʔŋaɴ
ကန့်,kaɴ
ကန့်ကလာပင်,kaɴkəlapɪɴ
ကန့်ကွက်,kaɴkəwkɛʔ
ကန့်ကွက်လွှာ,kaɴkəwkɛʔləwှa
ကန့်ကွက်သည်,kaɴkəwkɛʔθi
ကန့်ချက်,kaɴt͡ɕʰəkɛʔ
ကန့်ချုပ်ပင်,kaɴt͡ɕʰoʊʔpɪɴ
ကန့်ဆီး,kaɴsʰi
ကန့်တလန့်လန့်,kaɴtəlaɴlaɴ
ကန့်ထောက်,kaɴtʰɔkɛʔ
ကန့်ဓာတ်,kaɴdaaʔ
ကန့်နို့,kaɴno
ကန့်ပလူ,kaɴpəlu
ကန့်ပလူပင်,kaɴpəlupɪɴ
ကန့်ပွင့်,kaɴpəwɪɴ
ကန့်လန့်,kaɴlaɴ
ကန့်လန့်ကန်လန့်,kaɴlaɴkaɴlaɴ
ကန့်လန့်ကျင်,kaɴlaɴt͡ɕɪɴ
ကန့်လန့်ကာ,kaɴlaɴka
ကန့်လန့်ချသည်,kaɴlaɴt͡ɕʰəθi
ကန့်လန့်တိုက်,kaɴlaɴtokɛʔ
ကန့်လန့်တိုက်သည်,kaɴlaɴtokɛʔθi
ကန့်လန့်နား,kaɴlaɴna
ကန့်လန့်ဖြတ်,kaɴlaɴpʰəjaʔ
ကန့်လန့်ဖြတ်ချက်,kaɴlaɴpʰəjaʔt͡ɕʰəkɛʔ
ကန့်လန့်ဖြတ်မျဉ်း,kaɴlaɴpʰəjaʔməjɪɴ
ကန့်လန့်ဖီလာ,kaɴlaɴpʰila
ကန့်ဝင်,kaɴwɪɴ
ကန့်သည်,kaɴθi
ကန့်သတ်,kaɴθaʔ
ကန့်သတ်ကုန်,kaɴθaʔkoʊɴ
ကန့်သတ်ချက်,kaɴθaʔt͡ɕʰəkɛʔ
ကန့်သတ်စစ်ပွဲ,kaɴθaʔsɪʔpəwɛ
ကန့်သတ်ဈေး,kaɴθaʔze
ကန့်သတ်သည်,kaɴθaʔθi
ကန့်အိတ်,kaɴʔeɪʔ
ကန့်အိတ်ပင်,kaɴʔeɪʔpɪɴ
ကနကုတ်မြွေ,kənəkoʊʔməjwe
ကနကုပ်,kənəkoʊʔ
ကနက္ကဒဏ်ထီး,kənəkə္kədənɛʔtʰi
ကနက်,kənəkɛʔ
ကနက်တိုင်,kənəkɛʔtaɪɴ
ကနခို,kənəkʰo
ကနစို,kənəso
ကနစိုး,kənəso
ကနစိုးပင်,kənəsopɪɴ
ကနစိုထင်း,kənəsotʰɪɴ
ကနဖော့ပင်,kənəpʰɔpɪɴ
ကနဦး,kənəʔuး
ကနား,kəna
ကနားစ,kənas
ကနားပြင်,kənapəjɪɴ
ကနားဖျင်း,kənapʰəjɪɴ
ကနားဦး,kənaʔuး
ကနုကမာ,kənukəma
ကနုတံ,kənutaɴ
ကနုတ်ပန်း,kənoʊʔpaɴ
ကနူးလှေ,kənuɬe
ကနေ့,kəne
ကနေရီစာဝါငှက်,kənejisawəါŋ̥əkɛʔ
ကနော့,kənɔ
ကန္တရ,kənə္təj
ကန္တာရ,kənə္taj
ကန္တာရရာသီဥတု,kənə္tajəjaθiʔutu
ကန်,kaɴ
ကန်း,kaɴ
ကန်းကြီးတကာ,kaɴt͡ɕitəka
ကန်းစော်,kaɴsaʊʔ
ကန်းမ,kaɴm
ကန်းသည်,kaɴθi
ကန်းသော,kaɴθɔ
ကန်ကျောက်,kaɴt͡ɕɔkɛʔ
ကန်ကြိုးဆက်ချည်,kaɴt͡ɕosʰəkɛʔt͡ɕʰi
ကန်ကြီးတကာ,kaɴt͡ɕitəka
ကန်စွန်း,kaɴsʊɴ
ကန်စွန်းကြီး,kaɴsʊɴt͡ɕi
ကန်စွန်းပင်,kaɴsʊɴpɪɴ
ကန်စွန်းဥ,kaɴsʊɴʔu
ကန်ဆင်းမိုး,kaɴsʰɪɴmo
ကန်တော့,kaɴtɔ
ကန်တော့ပွဲတော်,kaɴtɔpəwɛtaʊʔ
ကန်တော့သည်,kaɴtɔθi
ကန်ထရိုက်,kaɴtʰəjokɛʔ
ကန်ထရိုက်တာ,kaɴtʰəjokɛʔta
ကန်ပြန်,kaɴpəjaɴ
ကန်ပေါင်,kaɴpeါɪɴ
ကန်ပေါင်ရိုး,kaɴpeါɪɴjo
ကန်ဘောင်,kaɴbaʊɴ
ကန်ရာသီ,kaɴjaθi
ကန်သင်း,kaɴθɪɴ
ကန်သင်းမရှိ,kaɴθɪɴməʃi
ကန်သင်းရိုး,kaɴθɪɴjo
ကန်သည်,kaɴθi
ကန်သတ်သော,kaɴθaʔθɔ
ကနွဲ့ကလျ,kənəwɛkələj
ကနွဲ့ကလျလုပ်သည်,kənəwɛkələjloʊʔθi
ကပက်ကရက်,kəpəkɛʔkəjəkɛʔ
ကပျစ်ကညစ်,kəpəjɪʔkəɲɪʔ
ကပျာကယာ,kəpəjakəja
ကပျာကသီ,kəpəjakəθi
ကပြက်ကချော်,kəpəjkɛʔkət͡ɕʰaʊʔ
ကပြင်,kəpəjɪɴ
ကပြအသုံးတော်ခံသူ,kəpəjʔəθoʊɴtaʊʔkʰaɴθu
ကပြား,kəpəja
ကပြားအမျိုးသား,kəpəjaʔəməjoθa
ကပြောင်းကပြန်,kəpəjaʊɴkəpəjaɴ
ကပလင်း,kəpəlɪɴ
ကပိလဝတ်ပြည်,kəpiləwaʔpəji
ကပိုကရို,kəpokəjo
ကပိုကရို့,kəpokəjo
ကပိုင်,kəpaɪɴ
ကပိုင်ပင်,kəpaɪɴpɪɴ
ကပေါက်ကပတ်,kəpeါkɛʔkəpaʔ
ကပေါက်ကရောက်,kəpeါkɛʔkəjɔkɛʔ
ကပေါက်ချိကပေါက်ချာ,kəpeါkɛʔt͡ɕʰikəpeါkɛʔt͡ɕʰa
ကပေါက်တိကပေါက်ချာ,kəpeါkɛʔtikəpeါkɛʔt͡ɕʰa
ကပ္ပဋ္ဌီတိလေးပါး,kəpə္pətə္tʰitilepəါး
ကပ္ပတိန်,kəpə္pəteɪɴ
ကပ္ပဗိန္ဒု,kəpə္pəbinə္du
ကပ္ပလဝတ်ပြည်,kəpə္pələwaʔpəji
ကပ္ပလီ,kəpə္pəli
ကပ္ပိ,kəpə္pi
ကပ္ပိတန်,kəpə္pitaɴ
ကပ္ပိတိန်,kəpə္piteɪɴ
ကပ္ပိယ,kəpə္pij
ကပ္ပီယဒါယကာ,kəpə္pijədəါjəka
ကပ္ပီလသံချောင်း,kəpə္piləθaɴt͡ɕʰaʊɴ
ကပ်,kaʔ
ကပ်ကမ္ဘာ,kaʔkəmə္ba
ကပ်ကျော်ဘုရား,kaʔt͡ɕaʊʔbuja
ကပ်ကြီးသုံးပါး,kaʔt͡ɕiθoʊɴpəါး
ကပ်ကလူငှက်,kaʔkəluŋ̥əkɛʔ
ကပ်ကိုး,kaʔko
ကပ်ချွဲသည်,kaʔt͡ɕʰəwɛθi
ကပ်ခို,kaʔkʰo
ကပ်ခုန်ပွဲ,kaʔkʰoʊɴpəwɛ
ကပ်ငြိ,kaʔd͡ʑi
ကပ်ငြိသည်,kaʔd͡ʑiθi
ကပ်စေးနှဲ,kaʔsen̥ɛ
ကပ်တွယ်,kaʔtəwɛ
ကပ်ထား,kaʔtʰa
ကပ်နာ,kaʔna
ကပ်ပယ်,kaʔpɛ
ကပ်ပယ်အိတ်,kaʔpɛʔeɪʔ
ကပ်ပယ်အိပ်,kaʔpɛʔeɪʔ
ကပ်ပြုမိုး,kaʔpəjumo
ကပ်ပါ,kaʔpəါ
ကပ်ပါး,kaʔpəါး
ကပ်ပါးရပ်ပါး,kaʔpəါးjaʔpəါး
ကပ်မြှောင်,kaʔməjှaʊɴ
